Language,R,G,B,Hex
LilyPond,155,204,124,#9ccc7c
Liquid,102,183,222,#67b8de
Liquidsoap,153,0,101,#906
Literate Agda,48,86,101,#315665
Literate CoffeeScript,36,70,118,#244776
Literate Haskell,94,80,134,#5e5086
LiveCode Script,11,91,165,#0c5ba5
LiveScript,73,152,134,#499886
Logtalk,40,91,154,#295b9a
LookML,100,43,129,#652b81
Lua,0,0,128,#000080
Luau,0,161,255,#00a2ff
M3U,23,156,125,#179c7d
MATLAB,225,102,55,#e16737
MAXScript,0,165,166,#00a6a6
MDX,252,178,43,#fcb32c
MLIR,94,200,219,#5ec8db
MQL4,97,167,214,#62a8d6
MQL5,73,117,184,#4a76b8
MTML,182,225,244,#b7e1f4
Macaulay2,216,255,255,#d8ffff
Makefile,65,120,24,#427819
Mako,126,133,141,#7e858d
Markdown,8,62,161,#083fa1
Marko,65,191,242,#42bff2
Mask,249,119,50,#f97732
Mathematical Programming System,5,47,173,#0530ad
Max,196,167,155,#c4a79c
MeTTa,105,89,205,#6a5acd
Mercury,255,43,43,#ff2b2b
Mermaid,255,53,111,#ff3670
Meson,0,120,0,#007800
Metal,142,19,233,#8f14e9
MiniYAML,254,17,17,#f11
MiniZinc,6,169,230,#06a9e6
Mint,1,176,70,#02b046
Mirah,199,169,56,#c7a938
Modelica,222,29,49,#de1d31
Modula-2,16,37,63,#10253f
Modula-3,33,51,136,#238
Mojo,255,76,31,#ff4c1f
Monkey C,141,102,71,#8d6747
MoonBit,185,35,129,#b92381
MoonScript,255,68,132,#ff4585
Motoko,251,176,58,#fbb03b
Motorola 68K Assembly,0,92,170,#005daa
Move,73,19,121,#4a137a
Mustache,114,75,59,#724b3b
NCL,40,67,31,#28431f
NMODL,0,52,107,#00356b
NPM Config,203,55,55,#cb3837
NWScript,17,21,34,#111522
Nasal,28,43,78,#1d2c4e
Nearley,153,0,0,#900
Nemerle,60,60,110,#3d3c6e
NetLinx,9,160,255,#0aa0ff
NetLinx+ERB,115,127,170,#747faa
NetLogo,255,98,117,#ff6375
NewLisp,135,174,215,#87aed7
Nextflow,58,195,134,#3ac486
Nginx,0,150,56,#009639
Nickel,224,195,252,#e0c3fc
Nim,255,194,0,#ffc200
Nit,0,153,23,#009917
Nix,126,126,255,#7e7eff
Noir,47,31,73,#2f1f49
Nu,201,223,64,#c9df40
NumPy,156,138,249,#9c8af9
Nunjucks,60,129,55,#3d8137
Nushell,77,153,6,#4e9906
OASv2-json,133,233,45,#85ea2d
OASv2-yaml,133,233,45,#85ea2d
OASv3-json,133,233,45,#85ea2d
OASv3-yaml,133,233,45,#85ea2d
OCaml,239,121,8,#ef7a08
OMNeT++ MSG,160,224,160,#a0e0a0
OMNeT++ NED,7,95,124,#08607c
ObjectScript,65,71,147,#424893
Objective-C++,103,102,251,#6866fb
Objective-J,254,12,89,#ff0c5a
Odin,96,175,254,#60affe
Omgrofl,201,187,255,#cabbff
Opal,246,237,224,#f7ede0
Open Policy Agent,124,144,153,#7d9199
OpenAPI Specification v2,133,233,45,#85ea2d
OpenAPI Specification v3,133,233,45,#85ea2d
OpenCL,237,45,44,#ed2e2d
OpenEdge ABL,91,230,0,#5ce600
OpenQASM,169,112,255,#aa70ff
OpenSCAD,228,205,69,#e5cd45
Option List,70,103,49,#476732
Org,119,170,153,#7a9
OverPy,120,179,84,#78b355
OverpassQL,204,225,170,#cce2aa
Oxygene,205,208,227,#cdd0e3
Oz,249,182,56,#fab738
P4,112,85,181,#7055b5
PDDL,12,0,255,#0d00ff
PEG.js,35,76,107,#234d6b
PLSQL,218,216,216,#dad8d8
PLpgSQL,50,103,144,#336790
POV-Ray SDL,106,171,101,#6bac65
Pact,247,167,184,#f7a8b8
Pan,204,0,0,#c00
Papyrus,101,0,204,#60c
Parrot,243,202,9,#f3ca0a
Pascal,226,241,113,#e3f171
Pawn,219,178,132,#dbb284
Pep8,199,110,90,#c76f5b
PicoLisp,96,103,175,#6067af
PigLatin,251,215,222,#fcd7de
Pike,0,83,144,#005390
Pip Requirements,255,210,66,#ffd343
Pkl,106,149,67,#6b9543
PlantUML,251,189,22,#fbbd16
PogoScript,216,0,115,#d80074
Polar,174,129,255,#ae81ff
Portugol,248,189,0,#f8bd00
PostCSS,220,57,11,#dc3a0c
PostScript,218,41,27,#da291c
